연령구간,수검자수,계_인원,계_비율,주의군소계_인원,주의군소계_비율,주의군1개_인원,주의군1개_비율,주의군2개_인원,주의군2개_비율,대사증후군소계_인원,대사증후군소계_비율,위험요인3개_인원,위험요인3개_비율,위험요인4개_인원,위험요인4개_비율,위험요인5개_인원,위험요인5개_비율
20~24세,544737,177212,32.53166206811727,159381,29.258339345408885,116842,21.449249821473483,42539,7.809089523935403,17831,3.27332272270839,13932,2.5575644760682676,3149,0.5780771271274028,750,0.13768111951271897
25~29세,1205425,475750,39.46740776074829,418256,34.697803679200284,291665,24.196030445693427,126591,10.501773233506855,57494,4.769604081548002,46041,3.8194827550449015,8944,0.7419789700727959,2509,0.20814235643030468
30~34세,1640861,777826,47.40352778206076,657748,40.08554045711367,432217,26.340866167213434,225531,13.74467428990024,120078,7.317987324947086,95892,5.844005068070969,17768,1.082846139922882,6418,0.39113611695323375
35~39세,1300998,734700,56.47203147122439,581536,44.699223211719,356696,27.417105944820825,224840,17.28211726689818,153164,11.772808259505394,115250,8.858583948630205,26041,2.001617220011099,11873,0.9126070908640905
40~44세,1998919,1274704,63.769667505286606,908304,45.4397601903829,535690,26.798984851312134,372614,18.640775339070768,366400,18.329907314903707,230043,11.508370274133169,94907,4.74791624873244,41450,2.0736207920380965
45~49세,1608652,1096630,68.17074171418056,780110,48.49464023294037,450926,28.03129576813382,329184,20.46334446480656,316520,19.676101481240195,198336,12.329329152607277,77543,4.820371341968306,40641,2.526400986664611
50~54세,2173302,1580403,72.71897785029417,1097733,50.50991532700011,617930,28.432771883521017,479803,22.077143443479095,482670,22.209062523294048,289172,13.305651952650852,126932,5.840513651577186,66566,3.062896919066011
55~59세,1752097,1395672,79.65723358923621,904980,51.65124990225998,476578,27.200434679130208,428402,24.45081522312977,490692,28.005983686976233,278994,15.923433462873346,144224,8.231507730450998,67474,3.8510424936518928
60~64세,1974620,1687652,85.46717849510286,970831,49.16545968338212,473405,23.974486230262023,497426,25.19097345312009,716821,36.30171881172073,377067,19.095674104384642,238265,12.066372264030548,101489,5.139672443305547
65~69세,1284702,1137769,88.56287294641092,628444,48.91749214993049,293167,22.819844602094495,335277,26.097647547835994,509325,39.64538079648043,256477,19.96392937817486,172788,13.449656029180307,80060,6.23179538912526
70~74세,1084029,997674,92.03388470234653,504122,46.5044754337753,221836,20.464028176367975,282286,26.04044725740732,493552,45.52940926857123,231074,21.3162194000345,173388,15.994775047531014,89090,8.21841482100571
75~79세,475616,448327,94.2623881450582,209088,43.961515171903386,87813,18.46300376774541,121275,25.498511404157973,239239,50.30087297315481,107041,22.505760950010092,85658,18.00990715198816,46540,9.785204871156564
80~84세,356907,340453,95.38983544732942,156235,43.774708817703214,63637,17.83013502116798,92598,25.94457379653523,184218,51.615126629626204,81462,22.82443325572208,65954,18.479323745401462,36802,10.311369628502662
85세이상,107844,102140,94.71087867660695,55509,51.47157004562145,23501,21.79166203034012,32008,29.67990801528133,46631,43.2393086309855,23072,21.393865212714662,15353,14.23630429138385,8206,7.609139126886985
