연령구간,수검자수,복부비만_인원,복부비만_비율,높은혈압_인원,높은혈압_비율,높은혈당_인원,높은혈당_비율,고중성지방혈증_인원,고중성지방혈증_비율,낮은HDL콜레스테롤혈증_인원,낮은HDL콜레스테롤혈증_비율
20~24세,544737,73489,13.490730389160275,82118,15.07479756286061,72325,13.277049291676535,19580,3.5943950934120505,12550,2.3038640665128307
25~29세,1205425,211858,17.5753779787212,234228,19.43115498683037,207747,17.234336437356117,50332,4.175456789099281,27126,2.2503266482775786
30~34세,1640861,382997,23.341221468485145,390389,23.791716665823614,370901,22.60404750920401,84405,5.1439457699341995,45425,2.768363682237557
35~39세,1300998,374235,28.765224850460953,390518,30.016802485476536,382504,29.40081383676224,106040,8.150665873429475,62358,4.793089612743448
40~44세,1998919,558158,27.922992377379973,689762,34.50675089886083,685094,34.27322467793842,369136,18.466781295290104,255775,12.795666057504082
45~49세,1608652,427514,26.57591573565942,653588,40.62954573145714,647733,40.26557639564057,277267,17.23598391696899,211577,13.152440677038912
50~54세,2173302,534772,24.606428374887614,997538,45.899649473474,973036,44.77224058138262,424308,19.523655709146727,355956,16.378579691179596
55~59세,1752097,435788,24.872367226243753,907353,51.78668760919059,884429,50.47831255917908,454861,25.960948509129345,402199,22.955293000330464
60~64세,1974620,513018,25.980593734490686,1155428,58.51394192300291,1058912,53.62611540448289,692250,35.057378128450026,640355,32.42927753187955
65~69세,1284702,375661,29.241100270724264,846604,65.89886214857609,716143,55.74390014182278,445007,34.63892793815219,441189,34.34173839536328
70~74세,1084029,363415,33.52447213128062,795138,73.3502516999084,636904,58.75340973350344,408895,37.71993184684174,414280,38.216689774904545
75~79세,475616,175162,36.82844984188925,376021,79.05978772791495,286294,60.194358474063115,190026,39.953660095539256,199315,41.906706250420505
80~84세,356907,137300,38.4694051951909,294280,82.45285186337057,217612,60.97162566158691,139151,38.98802769348878,152702,42.78481509188668
85세이상,107844,37030,34.33663439783391,88934,82.46541300396869,63503,58.88412892696858,32023,29.69381699491859,37685,34.94399317532733
