지역,수검자수,계_인원,계_비율,주의군소계_인원,주의군소계_비율,주의군1개_인원,주의군1개_비율,주의군2개_인원,주의군2개_비율,대사증후군소계_인원,대사증후군소계_비율,위험요인3개_인원,위험요인3개_비율,위험요인4개_인원,위험요인4개_비율,위험요인5개_인원,위험요인5개_비율
서울,3029948,1972482,65.09953306129346,1286956,42.47452431526877,726220,23.96806809885846,560736,18.506456216410314,685526,22.625008746024683,375552,12.394668159321547,209148,6.902692719479014,100826,3.327647867224124
부산,1096783,756956,69.01602231252673,512102,46.69127803767928,285315,26.013805830323772,226787,20.677472207355514,244854,22.32474427484744,142766,13.016795482789211,71455,6.514962394566655,30633,2.792986397491573
대구,783323,543958,69.44236285670151,366342,46.76768076515052,205813,26.274346597763632,160529,20.49333416738689,177616,22.674682091550995,102155,13.041235863111385,53391,6.815962253119083,22070,2.8174839753205254
인천,1049240,742936,70.80706034844269,478831,45.63598414090199,261653,24.937383248827725,217178,20.69860089207426,264105,25.171076207540693,145474,13.864702070069765,78554,7.486752315962029,40077,3.819621821508902
광주,474745,324242,68.29813900093734,219862,46.31159885833448,126066,26.55446608179128,93796,19.757132776543195,104380,21.98654014260287,59363,12.504186457993239,31515,6.638300561353989,13502,2.8440531232556423
대전,499101,341081,68.33907365443068,223448,44.77009663374748,124827,25.01036864281979,98621,19.75972799092769,117633,23.56897702068319,64976,13.018607456206258,35750,7.162878856183418,16907,3.387490708293512
울산,423554,297520,70.24369974076505,209910,49.55920614608763,115536,27.27774970841971,94374,22.281456437667924,87610,20.68449359467742,53253,12.57289507359156,23987,5.663268438026792,10370,2.448330083059067
세종,134853,86953,64.47984101206498,60149,44.603382942908205,34902,25.88151542791039,25247,18.72186751499781,26804,19.876458069156786,15676,11.62450965124988,7505,5.565319273579379,3623,2.686629144327527
경기,4738793,3286143,69.34556964188982,2148808,45.345048834165155,1195796,25.234189381135664,953012,20.110859453029494,1137335,24.00052080772467,631078,13.31727298491409,337427,7.120526260589986,168830,3.5627215622205908
강원,514405,383298,74.51288381722573,243294,47.296196576627366,129123,25.101427863259495,114171,22.19476871336787,140004,27.216687240598365,75574,14.691536824097746,43324,8.42215763843664,21106,4.102992778063977
충북,593800,429263,72.29083866621758,283535,47.749242169080496,154692,26.0511956887841,128843,21.698046480296394,145728,24.541596497137082,81991,13.807847760188615,42419,7.143651060963287,21318,3.59009767598518
충남,762681,570809,74.84243084592379,364421,47.78157578332225,194451,25.49571839340432,169970,22.285857389917936,206388,27.060855062601537,113474,14.8783042976028,61245,8.03022495643657,31669,4.152325808562164
전북,593669,435176,73.302800045143,274176,46.183310902203075,147746,24.886931943557773,126430,21.296378958645306,161000,27.119489142939923,85950,14.477764545563268,50363,8.483346780781883,24687,4.1583778165947685
전남,612718,469474,76.62154531121985,297477,48.55039349260182,156802,25.59121814603129,140675,22.959175346570525,171997,28.071151818618027,94454,15.415574538368384,51614,8.42377733312878,25929,4.231799947120861
경북,867804,639245,73.66237076574895,423139,48.759742983438656,229614,26.45920046462104,193525,22.30054251881761,216106,24.90262778231029,122763,14.146397112712087,65041,7.494895160658397,28302,3.261335508939807
경남,1131403,795730,70.3312612747182,544221,48.10142804995214,302772,26.760756335275758,241449,21.34067171467638,251509,22.229833224766065,147850,13.067845851566595,72255,6.3863185796749695,31404,2.7756687935245004
제주,210544,154864,73.55422144539858,98588,46.82536666919979,52745,25.051770651265294,45843,21.773596017934494,56276,26.7288547761988,31736,15.073333839957442,15922,7.562314765559693,8618,4.093206170681663
