지역,수검자수,복부비만_인원,복부비만_비율,높은혈압_인원,높은혈압_비율,높은혈당_인원,높은혈당_비율,고중성지방혈증_인원,고중성지방혈증_비율,낮은HDL콜레스테롤혈증_인원,낮은HDL콜레스테롤혈증_비율
서울,3029948,733430,24.206025978003584,1264302,41.726854718298796,1131888,37.356680708711835,630537,20.810159118242293,554913,18.3142747004239
부산,1096783,271666,24.769348175527885,456013,41.5773220409142,465619,42.45315618495181,218939,19.961925011602112,193935,17.68216684613091
대구,783323,189624,24.2076384837417,345470,44.10313497752524,313974,40.08231597948739,162626,20.761039826482815,145556,18.581862143713384
인천,1049240,286962,27.349510121611832,488657,46.57247150318325,443916,42.30833746330677,228460,21.77385536197629,199037,18.96963516450002
광주,474745,109382,23.040158400825707,185437,39.0603376549516,209090,44.04259128584819,93552,19.70573676394696,87856,18.50593476497909
대전,499101,122956,24.63549461932555,227310,45.54388791046301,193139,38.697377885438016,106101,21.258422643913757,95026,19.03943290035484
울산,423554,112994,26.677590106574367,198850,46.94796885403042,162472,38.359217478763036,73541,17.362839212945694,63984,15.106456319619221
세종,134853,33100,24.545245563687867,55569,41.20709216702632,46180,34.24469607646845,24428,18.114539535642514,21282,15.781628884785656
경기,4738793,1265259,26.70002677897093,2116373,44.66059184269074,1919296,40.5017902237975,1014868,21.416170742212202,873116,18.424860507728443
강원,514405,141071,27.42411135195031,266974,51.899573293416665,232571,45.21165229731437,115881,22.527191609723857,106516,20.70664165394971
충북,593800,168472,28.371842371168743,290194,48.87066352307174,247165,41.62428427079825,121496,20.460761199056922,107290,18.068373189626136
충남,762681,226851,29.743890302760917,392648,51.482598884723764,338733,44.41345726457064,171087,22.43231442765717,148819,19.5126140548932
전북,593669,164824,27.76361912109273,289809,48.81659645357935,259901,43.77877234620639,138085,23.259594150949432,130724,22.019677631811664
전남,612718,175207,28.595046987357968,312617,51.02135076821638,300968,49.12014988950871,138084,22.536305445572026,130739,21.337548431741844
경북,867804,235253,27.10900157178349,428609,49.390069647063164,367880,42.39206088010657,188437,21.71423501159248,166448,19.180367917179456
경남,1131403,297636,26.306806681615658,482271,42.62592551018514,477627,42.2154616878336,224515,19.84394596797074,193211,17.07711575804554
제주,210544,67256,31.943916710996277,102361,48.61739113914431,94104,44.69564556577247,42650,20.257048407933734,40046,19.0202522988069
